"행정구역(시군구)별","시점","총인구수[명]","남자인구수[명]","여자인구수[명]",
"전국","2023.02 월","51421479","25626211","25795268",
"서울특별시","2023.02 월","9427583","4567957","4859626",
"종로구","2023.02 월","141433","68399","73034",
"중구","2023.02 월","120555","58557","61998",
"용산구","2023.02 월","218175","104860","113315",
"성동구","2023.02 월","280474","136361","144113",
"광진구","2023.02 월","337071","162329","174742",
"동대문구","2023.02 월","337293","165962","171331",
"중랑구","2023.02 월","385129","189306","195823",
"성북구","2023.02 월","430170","206753","223417",
"강북구","2023.02 월","293119","142254","150865",
"도봉구","2023.02 월","310853","150964","159889",
"노원구","2023.02 월","502820","241743","261077",
"은평구","2023.02 월","465627","221790","243837",
"서대문구","2023.02 월","308194","146671","161523",
"마포구","2023.02 월","365447","171284","194163",
"양천구","2023.02 월","440042","215195","224847",
"강서구","2023.02 월","568666","272826","295840",
"구로구","2023.02 월","395422","194182","201240",
"금천구","2023.02 월","229395","115635","113760",
"영등포구","2023.02 월","376410","184956","191454",
"동작구","2023.02 월","379622","183606","196016",
"관악구","2023.02 월","487430","245125","242305",
"서초구","2023.02 월","405126","193397","211729",
"강남구","2023.02 월","529962","253498","276464",
"송파구","2023.02 월","658868","317024","341844",
"강동구","2023.02 월","460280","225280","235000",
"부산광역시","2023.02 월","3315516","1618202","1697314",
"중구","2023.02 월","39711","19233","20478",
"서구","2023.02 월","104952","50638","54314",
"동구","2023.02 월","85988","41973","44015",
"영도구","2023.02 월","107783","53039","54744",
"부산진구","2023.02 월","357345","171699","185646",
"동래구","2023.02 월","273351","132289","141062",
"남구","2023.02 월","256371","125108","131263",
"북구","2023.02 월","278059","136825","141234",
"해운대구","2023.02 월","385516","184883","200633",
"사하구","2023.02 월","302091","150071","152020",
"금정구","2023.02 월","220223","107568","112655",
"강서구","2023.02 월","142886","74098","68788",
"연제구","2023.02 월","203048","97313","105735",
"수영구","2023.02 월","175179","82253","92926",
"사상구","2023.02 월","203685","102418","101267",
"기장군","2023.02 월","179328","88794","90534",
"대구광역시","2023.02 월","2360662","1160942","1199720",
"중구","2023.02 월","81791","39233","42558",
"동구","2023.02 월","338610","166179","172431",
"서구","2023.02 월","158968","79122","79846",
"남구","2023.02 월","141762","67871","73891",
"북구","2023.02 월","429014","213150","215864",
"수성구","2023.02 월","410761","198294","212467",
"달서구","2023.02 월","537040","263859","273181",
"달성군","2023.02 월","262716","133234","129482",
"인천광역시","2023.02 월","2971788","1487333","1484455",
"중구","2023.02 월","153715","79735","73980",
"중구영종출장소","2023.02 월","0","0","0",
"중구용유출장소","2023.02 월","0","0","0",
"동구","2023.02 월","59297","29832","29465",
"미추홀구","2023.02 월","404692","203713","200979",
"연수구","2023.02 월","386506","191686","194820",
"남동구","2023.02 월","503689","250249","253440",
"부평구","2023.02 월","490423","241853","248570",
"계양구","2023.02 월","287238","143093","144145",
"서구","2023.02 월","596063","300597","295466",
"서구검단출장소","2023.02 월","0","0","0",
"강화군","2023.02 월","69638","34845","34793",
"옹진군","2023.02 월","20527","11730","8797",
"광주광역시","2023.02 월","1428927","706167","722760",
"동구","2023.02 월","106101","52399","53702",
"서구","2023.02 월","287237","140606","146631",
"남구","2023.02 월","211907","101635","110272",
"북구","2023.02 월","424013","209973","214040",
"광산구","2023.02 월","399669","201554","198115",
"대전광역시","2023.02 월","1445875","721195","724680",
"동구","2023.02 월","219610","110614","108996",
"중구","2023.02 월","226421","111292","115129",
"서구","2023.02 월","469709","230651","239058",
"유성구","2023.02 월","358189","181227","176962",
"대덕구","2023.02 월","171946","87411","84535",
"울산광역시","2023.02 월","1108665","569576","539089",
"중구","2023.02 월","207368","104861","102507",
"남구","2023.02 월","310269","158271","151998",
"동구","2023.02 월","151185","78855","72330",
"북구","2023.02 월","218696","113121","105575",
"울주군","2023.02 월","221147","114468","106679",
"세종특별자치시","2023.02 월","385285","192110","193175",
"세종시","2023.02 월","385285","192110","193175",
"경기도","2023.02 월","13600800","6844167","6756633",
"수원시","2023.02 월","1192686","600546","592140",
"장안구","2023.02 월","269841","135744","134097",
"권선구","2023.02 월","367638","185764","181874",
"팔달구","2023.02 월","193247","97391","95856",
"영통구","2023.02 월","361960","181647","180313",
"성남시","2023.02 월","924051","457452","466599",
"수정구","2023.02 월","229163","116281","112882",
"중원구","2023.02 월","214152","108158","105994",
"분당구","2023.02 월","480736","233013","247723",
"의정부시","2023.02 월","463053","227702","235351",
"안양시","2023.02 월","547583","270552","277031",
"만안구","2023.02 월","234148","116953","117195",
"동안구","2023.02 월","313435","153599","159836",
"부천시","2023.02 월","787673","389755","397918",
"광명시","2023.02 월","286584","140875","145709",
"평택시","2023.02 월","581524","304985","276539",
"송탄출장소","2023.02 월","0","0","0",
"안중출장소","2023.02 월","0","0","0",
"동두천시","2023.02 월","90883","45346","45537",
"안산시","2023.02 월","639355","327745","311610",
"상록구","2023.02 월","343052","174958","168094",
"단원구","2023.02 월","296303","152787","143516",
"고양시","2023.02 월","1078087","526302","551785",
"덕양구","2023.02 월","494061","243068","250993",
"일산동구","2023.02 월","294628","143036","151592",
"일산서구","2023.02 월","289398","140198","149200",
"과천시","2023.02 월","78526","38580","39946",
"구리시","2023.02 월","188436","93321","95115",
"남양주시","2023.02 월","736484","365732","370752",
