"행정구역(시군구)별","시점","총전입[명]","총전출[명]","순이동[명]","시도내이동-시군구내[명]","시도내이동-시군구간 전입[명]","시도내이동-시군구간 전출[명]","시도간전입[명]","시도간전출[명]",
"전국","2023.01 월","506100","506100","0","164141","145923","145923","196036","196036",
"서울특별시","2023.01 월","91225","94248","-3023","19465","35007","35007","36753","39776",
"종로구","2023.01 월","1420","1568","-148","155","635","835","630","578",
"중구","2023.01 월","1297","1393","-96","176","613","691","508","526",
"용산구","2023.01 월","2100","2358","-258","330","900","1104","870","924",
"성동구","2023.01 월","2635","2939","-304","442","1148","1414","1045","1083",
"광진구","2023.01 월","3312","3465","-153","617","1226","1396","1469","1452",
"동대문구","2023.01 월","3154","3339","-185","541","1281","1357","1332","1441",
"중랑구","2023.01 월","2796","2982","-186","733","1091","940","972","1309",
"성북구","2023.01 월","3562","3988","-426","634","1410","1758","1518","1596",
"강북구","2023.01 월","1999","2236","-237","516","764","834","719","886",
"도봉구","2023.01 월","1836","2210","-374","406","727","813","703","991",
"노원구","2023.01 월","3415","4221","-806","842","1182","1390","1391","1989",
"은평구","2023.01 월","4211","4663","-452","1403","1346","1323","1462","1937",
"서대문구","2023.01 월","4367","3377","990","628","2164","1395","1575","1354",
"마포구","2023.01 월","4514","4168","346","798","1971","1742","1745","1628",
"양천구","2023.01 월","3504","3706","-202","781","1423","1338","1300","1587",
"강서구","2023.01 월","5184","5480","-296","1349","1715","1553","2120","2578",
"구로구","2023.01 월","3473","3350","123","589","1372","1088","1512","1673",
"금천구","2023.01 월","2029","2183","-154","368","683","677","978","1138",
"영등포구","2023.01 월","4885","4469","416","759","2020","1876","2106","1834",
"동작구","2023.01 월","3884","4468","-584","570","1516","1949","1798","1949",
"관악구","2023.01 월","6850","6667","183","1432","1976","2394","3442","2841",
"서초구","2023.01 월","4274","4053","221","957","1877","1631","1440","1465",
"강남구","2023.01 월","6159","6350","-191","1526","2303","2414","2330","2410",
"송파구","2023.01 월","6439","6690","-251","1726","2330","2009","2383","2955",
"강동구","2023.01 월","3926","3925","1","1187","1334","1086","1405","1652",
"부산광역시","2023.01 월","31180","31800","-620","8601","12723","12723","9856","10476",
"중  구","2023.01 월","421","454","-33","48","217","271","156","135",
"서  구","2023.01 월","1034","1140","-106","288","420","545","326","307",
"동  구","2023.01 월","784","843","-59","164","415","431","205","248",
