"행정구역.시군구.별","시점","총전입.명.","총전출.명.","순이동.명.","시도내이동.시군구내.명.","시도내이동.시군구간.전입.명.","시도내이동.시군구간.전출.명.","시도간전입.명.","시도간전출.명.","X"
"경기도","2023.01 월",138044,131506,6538,49237,40497,40497,48310,41772,NA
"강원도","2023.01 월",14581,15097,-516,5545,2728,2728,6308,6824,NA
"충청북도","2023.01 월",16205,16268,-63,7406,1949,1949,6850,6913,NA
"충청남도","2023.01 월",24994,24311,683,9469,4628,4628,10897,10214,NA
"전라북도","2023.01 월",17200,17690,-490,7552,4269,4269,5379,5869,NA
"전라남도","2023.01 월",16554,16528,26,5982,3617,3617,6955,6929,NA
"경상북도","2023.01 월",22636,24286,-1650,8432,4424,4424,9780,11430,NA
"경상남도","2023.01 월",26104,27646,-1542,10521,5632,5632,9951,11493,NA
"제주특별자치도","2023.01 월",8201,8796,-595,4193,854,854,3154,3749,NA
"서울특별시","2023.01 월",91225,94248,-3023,19465,35007,35007,36753,39776,NA
"부산광역시","2023.01 월",31180,31800,-620,8601,12723,12723,9856,10476,NA
"대구광역시","2023.01 월",22316,22557,-241,5853,8343,8343,8120,8361,NA
"인천광역시","2023.01 월",30920,28525,2395,8797,8747,8747,13376,10981,NA
"광주광역시","2023.01 월",13713,14728,-1015,4163,4449,4449,5101,6116,NA
"대전광역시","2023.01 월",17265,17351,-86,4361,5374,5374,7530,7616,NA
"울산광역시","2023.01 월",8741,9304,-563,2451,2682,2682,3608,4171,NA
